timestamp,GK,team1_name2,team1_name3,score1,GK,S1,S2,score2
2025-12-06T18:40:11.985000+00:00,kami,klanon,nae,3,gentle,jinsye,wraith,5
2025-12-06T18:46:02.480000+00:00,kami,popop,klanon,0,gentle,wraith,jinsye,5
2025-12-06T18:52:21.755000+00:00,kami,gentle,klanon,2,popop,wraith,jinsye,5
2025-12-06T18:56:49.279000+00:00,kami,gentle,nae,4,neptune,popop,wraith,5
2025-12-06T19:30:09.431000+00:00,shan,anon,kaif,3,gentle,wraith,jinsye,5
2025-12-06T19:35:52.514000+00:00,kami,kaif,E,1,gentle,wraith,jinsye,5
2025-12-06T19:47:18.351000+00:00,kami,kaif,shan,5,gentle,wraith,E,3
2025-12-06T19:51:29.372000+00:00,shan,anon,ash,0,gentle,wraith,E,5
2025-12-06T19:54:39.645000+00:00,shan,anon,ash,5,eri,wraith,E,4
2025-12-06T20:01:24.421000+00:00,shan,anon,eri,5,rothschild,legacy,,3
2025-12-07T01:26:21.188000+00:00,pike,herb,anon,5,kami,rxob,ash,4
2025-12-07T01:50:08.426000+00:00,kami,ella,b1x,4,pike,ash,rxob,5
2025-12-07T01:54:37.752000+00:00,kami,ella,b1x,1,pike,shan,rxob,5
2025-12-07T18:00:48.737000+00:00,kami,E,ash,4,popop,jinsye,delta,5
2025-12-07T18:10:25.511000+00:00,kami,E,ash,5,popop,delta,nae,1
2025-12-07T18:14:44.023000+00:00,popop,nae,delta,4,kami,jinsye,ash,5
2025-12-07T18:20:25.513000+00:00,popop,jinsye,delta,5,kami,ash,nae,1
2025-12-09T13:34:23.895000+00:00,gentle,hawk,nae,5,bap,popop,ash,1
2025-12-09T13:41:07.010000+00:00,lentle,cawk,naeshit,0,bapsy,popop,rxob,5
2025-12-09T13:45:41.086000+00:00,gentle,hawk,kami,5,bapsy,popop,rxob,1
2025-12-09T13:58:48.607000+00:00,gentle,kami,nae,5,bapsy,popop,cawk,4
2025-12-09T14:11:02.563000+00:00,gentle,kami,ash,5,bapsy,popop,hawk,3
2025-12-09T16:46:53.040000+00:00,gentle,ash,aster,5,kami,kaif,nae,3
2025-12-09T16:56:21.877000+00:00,gentle,aster,rxob,5,kami,kaif,nae,1
2025-12-09T17:00:41.075000+00:00,gentle,aster,rxob,5,kami,kaif,hawk,1
2025-12-09T17:07:30.241000+00:00,gentle,rxob,neptune,5,kami,kaif,hawk,3
2025-12-09T17:12:19.901000+00:00,gentle,rxob,nae,3,kami,kaif,hawk,5
2025-12-09T17:17:01.419000+00:00,gentle,rxob,aster,5,kami,kaif,hawk,4
2025-12-09T17:31:41.881000+00:00,rxob,neptune,gentle,5,kami,hawk,nae,3
2025-12-10T01:20:41.802000+00:00,kami,danny,aster,5,shan,kaif,jinsye',3
2025-12-10T01:31:16.915000+00:00,pike,aster,danny,5,shan,ash,jinsye,3
2025-12-10T01:37:59.261000+00:00,pike,danny,aster,5,kami,kaif,ash,2
2025-12-10T01:47:37.340000+00:00,pike,aster,danny,4,shan,kami,ash,5
2025-12-10T01:58:17.091000+00:00,pike,kami,aster,5,shan,danny,ash,2
2025-12-10T02:00:24.469000+00:00,pike,aster,ash,0,shan,danny,kami,5
2025-12-10T02:10:59.692000+00:00,aster,pike,anon,2,shan,kaif,danny,5
2025-12-10T02:20:16.352000+00:00,kami,shan,anon,1,pike,kaif,danny,5
2025-12-11T06:14:47.694000+00:00,popop,toph,katie,5,kami,kaif,ash,4
2025-12-11T06:25:09.103000+00:00,toph,ash,delta,5,kami,hawk,katie,2
2025-12-11T06:33:33.902000+00:00,popop,delta,ash,4,kami,hawk,katie,5
2025-12-12T00:56:36.226000+00:00,kami,kaif,anon,5,toph,rxob,wraith,2
2025-12-12T01:05:26.048000+00:00,kami,hawk,anon,3,toph,kaif,rxob,5
2025-12-12T01:09:48.373000+00:00,wraith,anon,hawk,1,kami,kaiferno,rxob,5
2025-12-12T01:18:33.993000+00:00,kami,wraith,anon,5,rxob,kaif,hawk,1
2025-12-12T01:22:54.411000+00:00,wraith,anon,rxob,2,kami,hawk,akil,5
2025-12-22T02:06:17.649000+00:00,kami,aster,toph,5,gentle,shan,ema,0
2025-12-22T02:22:29.056000+00:00,aster,akil,toph,4,gentle,ema,hawk,5
2025-12-23T15:38:32.404000+00:00,shan,bapsy,neptune,3,kami,eri,nae,5
2025-12-23T15:51:36.591000+00:00,kami,eri,akil,5,shan,bapsy,nae,2
2025-12-23T16:00:35.245000+00:00,kami,anon,nae,5,shan,akil,neptune,4
2025-12-23T18:33:12.063000+00:00,kami,anon,ash,3,popop,bapsy,mai,5
2025-12-23T18:40:54.258000+00:00,nep,anon,ash,3,popop,bapsy,mai,5
2025-12-24T01:00:36.946000+00:00,gentle,pike,mai,3,aster,shan,kami,5
2025-12-24T01:12:43.945000+00:00,gentle,pike,akil,3,aster,bapsy,kami,5
2025-12-24T01:16:01.506000+00:00,pike,bapsy,mai,0,aster,kami,akil,5
2025-12-24T01:21:19.981000+00:00,pike,bapsy,mai,3,aster,kami,toph,5
2025-12-24T05:26:35.229000+00:00,shan,kami,stella,5,neptune,aster,ash,0
2025-12-24T05:31:06.540000+00:00,aster,kami,stella,3,shan,neptune,ash,5
2025-12-24T05:37:12.975000+00:00,shan,stella,neptune,3,aster,kami,akil,5
2025-12-24T05:47:10.507000+00:00,shan,akil,stella,4,aster,kami,ash,5
2025-12-24T05:50:40.743000+00:00,kami,akil,mai,2,aster,ash,stella,5
2025-12-25T17:49:44.982000+00:00,popop,akil,anon,2,kami,bapsy,ash,5
2025-12-25T18:00:55.919000+00:00,aster,anon,popop,5,kami,ash,eri,4
2025-12-25T18:17:54.534000+00:00,aster,akil,nae,5,kami,bapsy,ash,2
2025-12-25T18:31:50.992000+00:00,kami,bap,ash,5,shan,popop,aster,3
2025-12-25T18:40:43.214000+00:00,kami,eri,nae,4,shan,popop,aster,5
2025-12-25T18:45:28.458000+00:00,kami,eri,ash,3,shan,bap,aster,5
2025-12-25T18:56:41.939000+00:00,shan,bapsy,nae,5,kami,popop,ash,4
2025-12-25T19:06:04.079000+00:00,shan,bapsy,ash,5,kami,popop,mai,4
2025-12-25T19:18:22.350000+00:00,shan,nae,ash,4,kami,popop,mai,5
2025-12-25T19:23:56.620000+00:00,aster,kami,E,4,shan,ash,mai,5
2025-12-25T19:35:56.668000+00:00,aster,nae,E,3,shan,popop,mai,5
2025-12-25T19:41:42.821000+00:00,aster,nae,ash,5,shan,popop,mai,1
2025-12-26T01:40:20.565000+00:00,kami,eri,hawk,5,aster,wraith,akil,3
2025-12-26T01:50:36.211000+00:00,kami,eri,ema,3,gentle,wraith,aster,5
2025-12-26T02:05:46.675000+00:00,eri,herb,akil,4,aster,wraith,hawk,5
2025-12-26T02:19:52.646000+00:00,kami,hawk,akil,0,shan,eri,aster,5
2025-12-26T03:12:13.505000+00:00,shan,aster,mai,5,kami,hawk,akil,2
2025-12-26T03:15:47.564000+00:00,shan,eri,mai,4,kami,hawk,aster,5
2025-12-26T03:28:01.973000+00:00,kami,eri,mai,3,shan,aster,hawk,5
2025-12-27T00:53:02.169000+00:00,shan,aster,anon,5,jib,kami,stella,3
2025-12-27T00:59:18.941000+00:00,aster,anon,wraith,5,jib,kami,stella,1
2025-12-27T01:16:44.200000+00:00,aster,anon,kami,4,jib,bapsy,stella,5
